Общая продолжительность эксперимента: 11.016 секунд
Время	напряжение
0.033	2.475
0.060	2.475
0.086	2.475
0.113	2.488
0.139	2.488
0.166	2.514
0.193	2.514
0.219	2.514
0.246	2.514
0.272	2.527
0.300	2.552
0.329	2.552
0.357	2.565
0.386	2.565
0.415	2.565
0.442	2.565
0.469	2.565
0.495	2.565
0.522	2.565
0.549	2.565
0.579	2.578
0.605	2.578
0.632	2.591
0.660	2.591
0.687	2.591
0.714	2.591
0.741	2.617
0.768	2.617
0.795	2.617
0.822	2.630
0.849	2.630
0.876	2.630
0.903	2.630
0.931	2.630
0.959	2.630
0.985	2.630
1.012	2.630
1.040	2.630
1.067	2.655
1.098	2.655
1.126	2.655
1.154	2.655
1.181	2.655
1.210	2.655
1.238	2.655
1.266	2.655
1.293	2.655
1.322	2.668
1.348	2.668
1.375	2.668
1.402	2.668
1.430	2.668
1.457	2.668
1.484	2.668
1.511	2.668
1.537	2.668
1.565	2.668
1.591	2.668
1.617	2.668
1.644	2.668
1.671	2.668
1.698	2.668
1.725	2.668
1.751	2.668
1.778	2.668
1.805	2.668
1.831	2.668
1.858	2.668
1.884	2.668
1.911	2.668
1.938	2.668
1.965	2.668
1.992	2.668
2.019	2.668
2.045	2.668
2.072	2.668
2.099	2.668
2.125	2.668
2.152	2.668
2.179	2.668
2.205	2.668
2.231	2.668
2.258	2.668
2.284	2.668
2.311	2.668
2.337	2.668
2.366	2.668
2.393	2.668
2.421	2.668
2.448	2.668
2.474	2.668
2.501	2.668
2.528	2.668
2.554	2.668
2.581	2.668
2.608	2.668
2.635	2.668
2.662	2.668
2.689	2.668
2.716	2.668
2.743	2.668
2.771	2.668
2.797	2.668
2.824	2.668
2.852	2.668
2.879	2.668
2.906	2.668
2.934	2.668
2.961	2.668
2.989	2.668
3.016	2.668
3.044	2.668
3.071	2.668
3.099	2.668
3.126	2.668
3.154	2.668
3.181	2.668
3.208	2.668
3.235	2.668
3.262	2.668
3.289	2.668
3.316	2.668
3.342	2.668
3.370	2.668
3.396	2.668
3.424	2.668
3.450	2.668
3.477	2.668
3.504	2.668
3.531	2.668
3.558	2.668
3.584	2.668
3.611	2.668
3.638	2.668
3.665	2.668
3.691	2.668
3.718	2.668
3.745	2.668
3.772	2.668
3.799	2.668
3.826	2.668
3.853	2.668
3.880	2.668
3.907	2.668
3.934	2.668
3.961	2.668
3.988	2.668
4.014	2.668
4.041	2.668
4.067	2.668
4.094	2.668
4.121	2.668
4.147	2.668
4.173	2.668
4.198	2.668
4.224	2.668
4.249	2.668
4.275	2.668
4.300	2.668
4.325	2.668
4.351	2.668
4.376	2.668
4.402	2.668
4.428	2.668
4.453	2.668
4.479	2.668
4.505	2.668
4.531	2.668
4.557	2.668
4.584	2.668
4.610	2.668
4.636	2.668
4.664	2.668
4.690	2.668
4.717	2.668
4.743	2.668
4.769	2.668
4.794	2.668
4.820	2.668
4.847	2.668
4.873	2.668
4.899	2.668
4.924	2.668
4.950	2.668
4.976	2.668
5.002	2.668
5.028	2.668
5.054	2.668
5.080	2.668
5.105	2.668
5.131	2.668
5.157	2.668
5.184	2.668
5.209	2.668
5.235	2.668
5.261	2.668
5.288	2.668
5.313	2.668
5.339	2.668
5.365	2.668
5.391	2.668
5.417	2.668
5.443	2.668
5.469	2.668
5.495	2.668
5.520	2.668
5.546	2.668
5.572	2.668
5.598	2.668
5.624	2.668
5.650	2.668
5.675	2.668
5.701	2.668
5.727	2.668
5.752	2.668
5.778	2.668
5.805	2.668
5.831	2.668
5.857	2.668
5.884	2.668
5.910	2.668
5.936	2.668
5.963	2.668
5.988	2.668
6.014	2.668
6.753	2.565
6.781	2.565
6.807	2.565
6.834	2.565
